window,book,bed,cabinet,rug,stand,poster,mat1,mat2,drawer,icebox,gasrange,waterpurifiler,shelf,desk,wall,light
0,0,1000,100,1000,100,0,40,40,200,220,200,1000,20,500,200,2000
30,20,2200,200,2000,0,,70,70,300,750,500,0,50,1000,500,3000
60,50,3000,300,3000,,,190,190,400,0,700,,100,2000,1000,4000
120,100,3200,400,0,,,390,390,500,,1000,,0,0,0,5000
300,200,4000,500,0,,,0,0,0,,1200,,0,0,,0
600,400,0,600,0,0,0,0,0,0,,1500,,0,0,,0
1200,800,0,0,0,0,0,0,0,0,0,0,,0,0,,0
2400,1600,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,3200,,,,,,,,,,,,,,,
0,4000,,,,,,,,,,,,,,,
0,5000,,,,,,,,,,,,,,,
0,6000,,,,,,,,,,,,,,,
0,8000,,,,,,,,,,,,,,,
0,10000,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
