book,desk,rug,bed,wall,cabinet,light,mat1,drawer,mat2,gasrange,icebox,shelf,window
박스,박스,낡은 작은러그,박스,물이 새는 벽지,상자,깨진전구,박스깔개,박스,종이깔개,가스 버너,스티로폼,낡은 한칸짜리,반쪽 창문
A4용지,플라스틱상,작은러그,낡은 이불,얼룩이 남은 벽지,버려진 서랍장,금이 간 전구,찢어진 천,낡은 좁은 장,짧은 천,낡은 1개 렌지,아이스박스,한칸짜리,금이 간 창문
색종이,낡은 교자상,낡은 중간러그,평범한 이불,무난한 벽지,초록 플라스틱 상자,돔이 깨진 전구,온전한 천,좁은 장,긴 천,1개 렌지,미니냉장고,낡은 두칸짜리,보수한 창문
한지,원형 테이블,중간러그,낡은 매트리스,무늬가 있는 벽지,블랙앤화이트 플라스틱상자,고장난 전구,투박한 깔개,낡은 넓은 장,짧은 매트,녹슨 2인,추후 냉장고,두칸짜리,얇은 창문
스케치북,미니 테이블,완전한 러그,평범한 매트리스,완전한 벽지,낡은 나무서랍장,고쳐진 전구,평범한 깔개,넓은 장,긴 매트,2인,,완전한 선반,안정된 창문
공책,작은탁자,,낡은 침대,,나무서랍장,추후 외출,완전한 깔개,완전한 장,완전한 매트,완전한 2인렌지,,,튼튼한 창문
종합장,완전한 책상,,평범한 침대,,원목서랍장,,,,,,,,시트지 창문
스티커북,,,완전한 침대,,완전한 서랍장,,,,,,,,커튼 반쪽
낡은 잡지,,,침대는 추후외출,,,,,,,,,,커튼 양쪽
낡은 사전,,,,,,,,,,,,,완전한 창문
동화책,,,,,,,,,,,,,
위인전,,,,,,,,,,,,,
만화책,,,,,,,,,,,,,
심리서적,,,,,,,,,,,,,
단편 소설책,,,,,,,,,,,,,
책장,,,,,,,,,,,,,
완전한 책장,,,,,,,,,,,,,
