index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
1,/(/Y/o/u/ /d/o/ /n/o/t/ /s/e/e/m/ /t/o/ /b/e/ /i/n/t/e/r/e/s/t/e/d/./)/,/.////////.////////Y/o/u/'/r/e/ /h/e/r/e/ /a/g/a/i/n/./ /H/i/./,/.///////.///////Y/o/u/'/r/e/ /h/e/r/e/ /a/g/a/i/n/./ /H/e/l/l/o/./,/Y/o/u/ /a/r/e/ /h/e/r/e/.///////./H/i/,/H/i/./ ////////I/ /a/m/ /g/o/o/d/ /t/o/ /s/e/e/ /y/o/u// /a/g/a/i/n/ /t/o/d/a/y/ /a/s/ /w/e/l/l/./,/H/i/./ /G/o/o/d/ /t/o/ /s/e/e/ /y/o/u/ /a/g/a/i/n/./,/W/e/l/c/o/m/e/./ /H/i/ /a/g/a/i/n/ /t/o/d/a/y/./,/H/e/l/l/o/./ /T/a/k/e/ /y/o/u/r/ /t/i/m/e/ /o/f/f/./,/W/e/l/c/o/m/e/./ /I/ /w/a/s/ /w/o/n/d/e/r/i/n/g/ /w/h/e/n/ /y/o/u/ /a/r/e/ /c/o/m/i/n/g/ /t/o/d/a/y/./ /,/Y/e/s/t/e/r/d/a/y/ /T/o/d/a/y/ /T/o/m/o/r/r/o/w/./././ /Y/o/u/ /a/l/w/a/y/s/ /c/o/m/e/ /t/o/ /m/e/./ /T/h/a/n/k/ /y/o/u/ /s/o/ /m/u/c/h/./
2,/./////.//////C/o/n/t/i/n/u/e/ /t/o/ /d/o/ /s/o/./,/I/ /h/a/v/e/ /a/ /c/r/a/m/p/ /i/n/ /m/y/ /l/e/g/.///////.//////// /s/o/ /I/ /c/a/n/n/o/t/ /m/o/v/e/./,/I/'/m/ /j/u/s/t/ /s/i/t/t/i/n/g/ /o/n/ /t/h/e/ /f/l/o/o/r/////./////////./////.///// /T/h/a/t/'/s/ /a/l/l/././,/I/ /h/a/v/e/ /n/o/t/ /e/a/t/e/n/ /w/h/a/t/ /I/ /w/a/n/t/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/./,/I/f/ /I/ /g/o/ /o/u/t/s/i/d/e/ ////////I/ /w/a/n/t/ /t/o/ /l/o/o/k/ /a/r/o/u/n/d/./ /T/r/a/v/e/l/i/n/g/ /i/s/ /g/o/o/d/ /t/o/o/./,I/ /u/s/u/a/l/l/y/ /h/a/v/e/ /a/ /m/e/a/l/ /a/l/o/n/e/./ /T/h/e/r/e/ /i/s/ /n/o/ /o/n/e/ /a/r/o/u/n/d/ /m/e/ /w/h/e/n/ /I/ /e/a/t/./,/I/ /a/m/ /t/h/i/n/k/i/n/g/ /a/b/o/u/t/ /w/h/a/t/ /t/o/ /d/o/ /t/o/d/a/y/./,/W/h/a/t/ /a/m/ /I/ /g/o/i/n/g/ /t/o/ /d/o/ /t/o/d/a/y/?/ /H/m/m/././,/Y/o/u/ /c/a/m/e/ /y/e/s/t/e/r/d/a/y/ /a/n/d/ /t/o/d/a/y/././,/I/ /d/o/ /n/o/t/ /k/n/o/w/ /h/o/w/ /l/o/n/g/ /I/ /h/a/v/e/ /b/e/e/n/ /w/i/t/h/ /y/o/u/./ /I/ /t/h/i/n/k/ /w/e/ /s/p/e/n/d/ /a/ /l/o/t/ /o/f/ /t/i/m/e/./
3,/U/m/m/////./////.//////.//////A/r/e/ /y/o/u/ /c/o/n/s/i/d/e/r/i/n/g/ /s/t/a/y/i/n/g/ /h/e/r/e/?/,/././M/y/ /h/e/a/d/ /i/s/ /s/t/u/f/f/y/.////////.//////// /s/o/ /I/ /f/e/e/l/ /d/i/z/z/y/./,/M/y/ /b/a/c/k/ /i/s/ /i/t/c/h/y/ /b/u/t/ /I/ /c/a/n/n/o/t/ /r/e/a/c/h/ /t/h/e/r/e/./,/I/ /w/a/n/t/ /t/o/ /t/a/k/e/ /a/ /r/e/s/t/ /d/r/i/n/k/i/n/g/ /a/ /c/u/p/ /o/f/ /h/o/t/ /t/e/a/./,/I/f/ /I/ /c/l/i/m/b/ /t/h/e/ /m/o/u/n/t/a/i/n/ /I/ /w/i/l/l/ /y/e/l/l/ /a/s/ /l/o/u/d/ /a/s/ /I/ /c/a/n/ /s/t/r/o/n/g/l/y/./,/I/ /w/a/n/t/ /t/o/ /c/l/i/m/b/ /u/p/ /t/h/e/ /m/o/u/n/t/a/i/n/ /a/n/d/ /f/e/e/l/ /a/ /f/r/e/s/h/ /b/r/e/e/z/e/,/I/t/ /i/s/ /n/i/c/e/ /t/o/ /b/e/ /a/b/l/e/ /t/o/ /g/o/ /o/u/t/s/i/d/e/ /n/o/w/ /b/u/t/ /I/ /a/m/ /a/f/r/a/i/d/ /a/s/ /w/e/l/l/./,/(/Y/o/u/ /s/o/f/t/l/y/ /c/l/e/a/r/e/d/ /y/o/u/r/ /t/h/r/o/a/t/./ /Y/o/u/ /s/e/e/m/e/d/ /t/o/ /b/e/ /r/e/a/d/i/n/g/ /m/y/ /m/i/n/d/ /s/o/ /s/o/o/n/ /f/i/x/e/d/ /i/t/./)/,/N/o/ /m/a/t/t/e/r/ /h/o/w/ /h/a/r/d/ /I/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t/ /y/o/u/ /a/r/e/ /a/ /r/e/a/l/l/y/ /w/e/i/r/d/ /p/e/r/s/o/n/./,/Y/o/u/ /w/e/r/e/ /w/e/i/r/d/ /a/t/ /t/h/e/ /f/i/r/s/t/ /t/i/m/e/ /I/ /s/a/w/ /y/o/u/./ ///////H/o/n/e/s/t/l/y/ /I/ /d/i/d/ /n/o/t/ /t/h/i/n/k/ /y/o/u/ /w/o/u/l/d/ /k/e/e/p/ /t/a/l/k/i/n/g/ /t/o/ /m/e/./
4,/I/ /w/o/n/'/t/ /s/t/o/p/ /y/o/u/ /f/r/o/m/ /l/e/a/v/i/n/g/./,/D/o/ /y/o/u/ /h/a/v/e/ /a/n/y/t/h/i/n/g/ /t/o/ /s/a/y/ /t/o/ /m/e/././?/,/I/ /d/o/n/'/t/ /k/n/o/w/ /a/n/d/ /I/'/m/ /n/o/t/ /s/u/r/e/ /i/f/ /I/'/m/ /d/o/i/n/g/ /w/e/l/l/./,/I/ /l/o/o/k/e/d/ /d/o/w/n/ /b/e/c/a/u/s/e/ /I/ /f/e/l/t/ /i/t/c/h/y/./ /T/h/e/r/e/ /w/a/s/ /a/ /l/i/t/t/l/e/ /b/u/g/ /c/r/a/w/l/i/n/g/ /o/n/ /m/y/ /f/o/o/t/./,I/t/ /c/a/n/’/t/ /b/e/ /h/e/l/p/e/d/ /i/f/ /I/ /a/m/ /a/l/o/n/e/ /w/h/e/n/ /I/ /a/m/ /s/i/c/k////////.////////.//////// /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /w/o/u/l/d/ /b/e/ /n/i/c/e/ /i/f/ /s/o/m/e/o/n/e/ /w/a/s/ /w/o/r/r/i/e/d/ /a/b/o/u/t/ /m/e/./,/I/ /f/e/l/t/ /s/i/c/k/ /m/o/r/e/ /b/e/c/a/u/s/e/ /n/o/ /o/n/e/ /a/r/o/u/n/d/ /m/e/ /w/h/e/n/ /I/'/m/ /s/i/c/k/./ /N/o/w/ /I/'/m/ /g/e/t/t/i/n/g/ /b/e/t/t/e/r/./,/O/n/e/ /d/a/y/ /I/ /w/a/n/t/ /t/o/ /l/i/v/e/ /a/ /l/i/f/e/ /t/h/a/t/ /b/r/i/n/g/s/ /m/e/ /s/m/a/l/l/ /h/a/p/p/i/n/e/s/s/ ////////e/v/e/n/ /i/f/ /i/t/ /i/s/ /n/o/t/ /a/ /b/r/i/l/l/i/a/n/t/ /a/n/d/ /c/o/l/o/r/f/u/l/ /l/i/f/e/./,/I/t/ /i/s/ /n/i/c/e/ /t/o/ /b/e/ /a/b/l/e/ /t/o/ /g/o/ /o/u/t/s/i/d/e/ /././b/u/t/ /I/ /a/m/ /a/f/r/a/i/d/ /t/o/o/./,/I/f/ /I/ /t/a/l/k/ /t/o/o/ /m/u/c/h/ /I/ /w/i/l/l/ /g/e/t/ /t/h/i/r/s/t/y/./,/I/ /a/m/ /g/e/t/t/i/n/g/ /l/o/s/t/ /m/y/ /m/e/m/o/r/i/e/s/ /b/u/t/ /I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /f/o/r/g/e/t/ /t/h/e/ /m/e/m/o/r/i/e/s/ ///////I/ /s/h/a/r/e/d/ /w/i/t/h/ /y/o/u/./
5,/I/ /h/a/v/e/ /s/o/m/e/t/h/i/n/g/ /t/o/ /s/a/y/./././//// /H/m/m/./,/I/ /w/o/u/l/d/ /b/e/ /s/c/a/r/e/d/ /t/o/ /a/p/p/e/a/r/ /a/ /b/u/g/ /w/h/i/l/e/ /I/'/m/ /s/l/e/e/p/i/n/g/./,/I/ /d/o/n/'/t/ /r/e/m/e/m/b/e/r/ /w/h/a/t/ /I/ /w/a/s/ /g/o/i/n/g/ /t/o/ /d/o/./,/W/h/e/n/ /I/ /r/e/a/d/ /I/ /b/e/c/o/m/e/ /i/m/m/e/r/s/e/d/ /i/n/ /t/h/e/ /w/o/r/l/d/ /o/f/ /m/y/ /b/o/o/k/./,/I/ /w/i/l/l/ /f/e/e/l/ /s/t/i/f/f/ /i/f/ /I/ /j/u/s/t/ /s/t/a/y/ /a/t/ /h/o/m/e/ /a/l/l/ /d/a/y/./ /I/ /w/i/l/l/ /h/a/v/e/ /t/o/ /w/a/l/k/ /a/r/o/u/n/d/./,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /t/h/e/ /d/u/s/t/ /i/s/ /r/o/l/l/i/n/g/./)/ /,/T/h/e/r/e/ /i/s/ /n/o/ /d/e/f/i/n/i/t/i/o/n/ /o/f/ /w/h/a/t/ /l/i/f/e/ /i/s/ /l/i/k/e/ /a/ /w/h/i/t/e/ /p/a/p/e/r/./,/I/ /f/e/e/l/ /l/i/k/e/ /I/ /a/m/ /g/e/t/t/i/n/g/ /h/e/a/l/t/h/i/e/r/ /t/h/e/s/e/ /d/a/y/s/./ /M/a/y/b/e/ /i/t/ /i/s/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /g/o/ /o/u/t/./,/I/ /t/h/i/n/k/ /I/ /o/f/t/e/n/ /d/r/e/a/m/ /t/h/e/s/e/ /d/a/y/s/./ ///////I/ /r/e/m/e/m/b/e/r/ /i/t/ /t/o/o/./,/I/ /w/a/n/t/ /t/o/ /s/a/y/ /t/h/a/n/k/ /y/o/u/ /f/o/r/ /m/a/k/i/n/g/ /g/o/o/d/ /m/e/m/o/r/i/e/s/./ ///////.///////.////////O/h/././ /I/ /a/l/r/e/a/d/y/ /t/a/l/k/i/n/g/ /y/o/u/.
6,/(/Y/o/u/ /h/e/a/r/ /a/ /s/m/a/l/l/ /c/o/u/g/h/./)/,/I/t/'/s/ /r/a/i/n/i/n/g/ /o/u/t/s/i/d/e/./,/H/o/w/ /s/o/u/n/d/ /d/o/e/s/ /a/ /t/u/r/t/l/e/ /c/r/i/e/s/?,/S/o/m/e/t/i/m/e/s/ /I/ /j/u/s/t/ /w/a/n/t/ /t/o/ /y/e/l/l/ /o/u/t/ /l/o/u/d/l/y/./,/S/o/m/e/t/i/m/e/s/ /I/ /o/r/d/e/r/ /d/e/l/i/v/e/r/y/ /f/o/o/d/./,/I/ /h/a/v/e/ /a/p/p/l/i/a/n/c/e/s/ /b/u/t/ /I/ /d/o/n/'/t/ /u/s/e/ /t/h/e/m/ /m/u/c/h/ /b/e/c/a/u/s/e/ /I/ /h/a/v/e/ /t/o/ /s/a/v/e/ /e/l/e/c/t/r/i/c/i/t/y/ /u/s/e/./,/I/ /a/m/ /t/h/i/n/k/i/n/g/ /o/f/ /t/a/k/i/n/g/ /a/ /w/a/l/k/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /g/o/ /o/u/t/./,/(/Y/o/u/ /a/r/e/ /s/t/r/e/t/c/h/i/n/g/ /y/o/u/r/ /a/r/m/s/ /a/n/d/ /l/e/g/s/ /l/i/g/h/t/l/y/./)/,/I/ /t/h/i/n/k/ /l/i/v/i/n/g/ /a/ /p/l/e/a/s/a/n/t/ /a/n/d/ /h/a/p/p/y/ /l/i/f/e/ /w/i/l/l/ /m/a/k/e/ /m/e/ /f/e/e/l/ /g/o/o/d/ /e/v/e/r/y/ /d/a/y/./,/(/L/a/u/g/h/s/ /a/t/ /e/a/c/h/ /o/t/h/e/r/./ /I/t/ /s/e/e/m/s/ /t/o/ /b/e/ /i/n/ /a/ /g/o/o/d/ /m/o/o/d/./)/
7,/E/v/e/r/y/t/h/i/n/g/ /b/o/t/h/e/r/s/ /m/e/./,/(/C/o/u/g/h/i/n/g/)/ /.////////.////////N/e/v/e/r/ /m/i/n/d/./,/W/h/a/t/ /i/s/ /h/a/p/p/i/n/e/s/s/?/ /H/m/m/m/.///////.///////,/(/Y/o/u/ /k/e/p/t/ /e/y/e/ /c/o/n/t/a/c/t/ /w/i/t/h/ /m/e/ /f/o/r/ /a/ /s/e/c/o/n/d/ /a/n/d/ /a/v/o/i/d/e/d/ /s/o/o/n/./)/,/T/h/e/ /f/r/o/n/t/ /a/n/d/ /b/a/c/k/ /w/i/n/d/o/w/s/ /h/a/v/e/ /t/h/e/ /s/a/m/e/ /d/e/s/i/g/n/./,/T/h/e/ /t/i/m/e/ /h/a/s/ /a/l/r/e/a/d/y/ /t/h/i/s/ /l/o/n/g/./ /I/ /l/o/s/t/ /t/r/a/c/k/ /o/f/ /t/i/m/e/ /w/h/e/n/ /I/'/m/ /w/i/t/h/ /y/o/u/./,/I/ /u/s/e/d/ /t/o/ /b/e/ /l/a/z/y/ /t/o/ /e/a/t/ /b/u/t/ /n/o/w/ /I/ /a/l/w/a/y/s/ /e/a/t/ /t/h/r/e/e/ /m/e/a/l/s/ /a/ /d/a/y/./,/U/n/t/i/l/ /t/h/e/ /d/a/y/ /w/h/e/n/ /t/h/e/ /d/r/i/z/z/l/e/ /i/n/ /m/y/ /m/i/n/d/ /s/e/e/s/ /t/h/e/ /c/l/e/a/r/ /s/k/y/ /.///////.///////.///////s/o/m/e/d/a/y/,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/s/e/l/f/ /s/l/o/w/l/y/./)/,/(/I/ /h/o/l/d/ /o/u/t/ /m/y/ /h/a/n/d/ /a/n/d/ /y/o/u/ /h/e/l/d/ /m/y/ /h/a/n/d/./ /I/ /c/a/n/ /f/e/e/l/ /t/h/e/ /w/a/r/m/t/h/./)/
8,/M/y/ /l/i/f/e/ /i/s/ /d/u/l/l/ /a/n/d/ /b/o/r/i/n/g/.,/T/h/e/ /r/o/o/m/ /i/s/ /s/o/ /h/u/m/i/d/ /t/h/a/t/ /I/ /f/e/e/l/ /v/e/r/y/ /u/n/p/l/e/a/s/a/n/t/././,/I/t/ /w/i/l/l/ /s/t/o/p/ /r/a/i/n/i/n/g/ /s/o/m/e/d/a/y/.///////./////// /s/o/m/e/d/a/y/,/A/t/ /n/i/g/h/t/ /t/h/e/ /w/o/r/l/d/ /b/e/c/o/m/e/s/ /q/u/i/e/t/ /s/o/ /t/h/e/ /r/a/i/n/ /s/o/u/n/d/s/ /s/t/r/o/n/g/l/y/./,/I/t/'/s/ /g/o/o/d/ /t/o/ /g/o/ /u/p/s/t/a/i/r/s/ /t/h/a/n/k/s/ /t/o/ /t/h/e/ /l/a/d/d/e/r/.,/I/ /t/h/i/n/k/ /I/ /h/a/d/ /s/e/e/n/ /a/ /l/i/t/t/l/e/ /s/u/n/l/i/g/h/t/ /t/h/r/o/u/g/h/ /t/h/e/ /c/l/o/u/d/s/./ ////////W/a/s/ /i/t/ /a/ /d/r/e/a/m/?/,/I/ /t/h/i/n/k/ /u/p/s/t/a/i/r/s/ /i/s/ /a/ /g/o/o/d/ /p/l/a/c/e/ /t/o/ /s/l/e/e/p/./ /I/t/ /i/s/ /c/o/z/y/./,/(/I/ /l/o/o/k/e/d/ /a/t/ /t/h/e/ /w/i/n/d/o/w/./)/ /Y/o/u/ /l/i/k/e/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /w/i/n/d/o/w/s/ /t/o/o/./,/I/t/ /i/s/ /t/o/o/ /b/a/d/ /i/f/ /I/ /d/r/i/n/k/ /i/c/e/d/ /a/m/e/r/i/c/a/n/o/ /a/n/d/ /h/a/v/e/ /o/n/l/y/ /i/c/e/ /l/e/f/t/ /a/t/ /s/o/m/e/ /p/o/i/n/t/./,/I/ /w/a/n/t/ /t/o/ /t/a/k/e/ /a/ /p/i/c/t/u/r/e/ /s/o/m/e/d/a/y/./ /L/i/k/e/ /t/h/e/ /s/a/y/i/n/g/./ /T/h/e/ /o/n/l/y/ /t/h/i/n/g/ /l/e/f/t/ /i/s/ /p/i/c/t/u/r/e/s/./ ///////I/ /w/a/n/t/ /t/o/ /k/e/e/p/ /m/e/m/o/r/i/e/s/./
9,/I/ /b/e/c/o/m/e/ /l/e/t/h/a/r/g/y/ /t/h/e/s/e/ /d/a/y/s/./,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /s/o/m/e/t/h/i/n/g/ /b/u/t/ /e/v/e/n/ /i/t/ /i/s/ /a/ /h/a/s/s/l/e/ /t/o/ /e/a/t/.,/A/m/ /I/ /g/o/i/n/g/ /t/o/ /h/a/v/e/ /t/h/e/ /c/o/u/r/a/g/e/ /t/o/ /g/o/ /o/u/t/s/i/d/e/?/ ///////I/'/m/ /n/o/t/ /s/u/r/e/./,/I/ /t/h/i/n/k/ /I/ /h/a/v/e/ /f/r/e/q/u/e/n/t/l/y/ /e/a/t/e/n/ /d/e/l/i/v/e/r/y/ /f/o/o/d/s/ ///////s/o/ /t/h/a/t/ /I/ /h/a/v/e/ /l/o/s/t/ /m/y/ /h/e/a/l/h/t/y/./,/I/ /l/o/s/t/ /t/r/a/c/k/ /o/f/ /t/i/m/e/./ /I/ /t/h/i/n/k/ /I/ /h/a/d/ /a/ /p/r/e/t/t/y/ /g/o/o/d/ /d/a/y/ /t/o/d/a/y/./,/I/f/ /I/ /h/a/d/ /a/ /r/e/f/r/i/g/e/r/a/t/o/r/ /I/ /w/o/u/l/d/ /k/e/e/p/ /t/h/e/ /f/o/o/d/./ //////////M/a/y/b/e/ /I/ /c/a/n/ /m/a/k/e/ /m/o/r/e/ /d/i/v/e/r/s/e/ /f/o/o/d/./,/D/o/w/n/s/t/a/i/r/s/ /i/s/ /a/ /g/o/o/d/ /p/l/a/c/e/ /t/o/ /e/a/t/./ /I/t/ /i/s/ /o/b/v/i/o/u/s/./,/W/e/l/l/ /I/ /a/m/ /t/h/i/n/k/i/n/g/ /a/b/o/u/t/ /w/h/e/t/h/e/r/ /I/ /w/i/l/l/ /g/o/ /o/u/t/ /l/a/t/e/r/ /o/r/ /s/t/a/y/ /a/t/ /h/o/m/e/./ /,/I/ /t/h/i/n/k/ /I/ /w/i/l/l/ /f/e/e/l/ /g/o/o/d/ /i/f/ /I/ /g/o/ /t/o/ /t/h/e/ /b/e/a/c/h/ /a/n/d/ /s/w/i/m/ /i/n/ /t/h/e/ /s/u/m/m/e/r/./,/I/ /t/h/i/n/k/ /t/h/i/s/ /m/o/m/e/n/t/ /i/s/ /m/o/r/e/ /p/r/e/c/i/o/u/s/ /b/e/c/a/u/s/e/ /i/t/ /i/s/ /t/h/e/ /o/n/l/y/ /m/o/m/e/n/t/ /f/o/r/ /m/e/././
10,/H/e/r/e/ /i/s/ /r/e/a/l/l/y/ /d/a/m/p/./,/W/i/l/l/ /t/h/e/ /r/a/i/n/y/ /s/e/a/s/o/n/ /e/v/e/r/ /e/n/d/?/ ////////S/o/m/e/d/a/y/./././,/H/o/w/ /b/r/i/g/h/t/ /a/n/d/ /w/a/r/m/ /t/h/e/ /s/u/n/ /m/u/s/t/ /h/a/v/e/ /b/e/e/n/?/ /N/o/w/ /m/y/ /m/e/m/o/r/y/ /i/s/ /f/a/d/i/n/g/./,/I/ /f/e/e/l/ /l/i/k/e/ /I/ /a/m/ /g/a/i/n/i/n/g/ /w/e/i/g/h/t/ /b/e/c/a/u/s/e/ /I/ /e/a/t/ /f/l/o/u/r/ /f/o/o/d/ /t/o/o/ /m/u/c/h/./,/T/h/e/r/e/ /i/s/ /a/ /T/V/ /d/o/w/n/s/t/a/i/r/s/ /s/o/ /I/ /f/e/e/l/ /l/e/s/s/ /b/o/r/e/d/./,/I/ /t/h/i/n/k/ /i/f/ /t/h/e/r/e/ /i/s/ /a/ /p/l/a/n/t/ /i/n/ /m/y/ /h/o/u/s/e/ /i/t/ /w/i/l/l/ /f/e/e/l/ /a/ /l/i/t/t/l/e/ /b/r/i/g/h/t/e/r/./,/I/ /w/a/n/t/ /t/o/ /g/e/t/ /a/ /g/o/o/d/ /d/e/e/p/ /s/l/e/e/p/ /t/o/d/a/y/././ /(/I/ /h/e/a/r/ /y/a/w/n/i/n/g/)/,/P/e/o/p/l/e/ /b/e/h/a/v/e/ /d/i/f/f/e/r/e/n/t/l/y/ /d/e/p/e/n/d/i/n/g/ /o/n/ /t/h/e/i/r/ /m/o/o/d/./ /T/h/e/r/e/ /a/r/e/ /g/o/o/d/ /t/h/i/n/g/s/ /a/n/d/ /b/a/d/ /t/h/i/n/g/s/./,/S/o/m/e/t/i/m/e/s/ /I/ /m/i/s/s/ /s/u/m/m/e/r/ /w/h/e/n/ /I/ /h/e/a/r/ /c/i/c/a/d/a/s/././,/I/ /w/a/s/ /n/o/t/ /c/h/a/t/t/y/ /l/i/k/e/ /t/h/i/s/./ ///////I/ /o/r/i/g/i/n/a/l/l/y/ /w/a/s/ /a/ /q/u/i/e/t/ /t/a/l/k/e/r/./
