index,window0,window1,window2,window3,window4,window5,window6,window7,window8
1,"/T/h/e/r/e/'/s/ /o/n/l/y/ /h/a/l/f/ /o/f/ /t/h/e/ /w/i/n/d/o/w/,/ /s/o/ /r/a/i/n/s/ /c/o/m/e/ /t/h/r/o/u/g/h/ /i/t/ /a/l/l/ /t/h/e/ /w/a/y/.",/I/t/'/s/ /c/r/a/c/k/e/d/ /o/n/ /b/o/t/h/ /s/i/d/e/s/./ /I/ /h/a/v/e/ /t/o/ /f/i/x/ /i/t/ /s/o/m/e/h/o/w/./,"/T/h/e/ /r/a/i/n/ /w/o/n/'/t/ /c/o/m/e/ /i/n/t/o/ /h/e/r/e/ /a/n/y/m/o/r/e/,/ /b/u/t/ /I/t/ /d/o/e/s/n/'/t/ /l/o/o/k/ /g/o/o/d/./","/T/h/e/ /w/i/n/d/o/w/ /b/e/c/o/m/e/s/ /s/i/m/p/l/e/./ /B/u/t/ /i/t/'/s/ /t/h/i/n/,/ /s/o/ /w/h/e/n/ /t/h/e/ /w/i/n/d/ /r/i/s/e/s/,/ /i/t/ /s/h/a/k/e/s/ /a/ /l/o/t/./","/I/ /f/i/x/e/d/ /i/t/ /m/o/r/e/,/ /s/o/ /t/h/e/ /n/o/i/s/e/ /o/f/ /t/h/e/ /w/i/n/d/ /b/e/c/a/m/e/ /q/u/i/t/e/ /a/ /l/o/t/./","/A/n/y/ /w/i/n/d/ /d/o/e/s/ /n/o/t/ /c/o/m/e/ /i/n/ /a/n/y/m/o/r/e/./ /N/o/w/,/ /i/t/ /b/e/c/o/m/e/s/ /r/e/a/l/l/y/ /s/t/r/o/n/g/./","/I/ /b/o/u/g/h/t/ /a/ /s/h/e/e/t/ /t/h/a/t/ /I/ /c/a/n/ /a/t/t/a/c/h/ /t/o/ /t/h/e/ /w/i/n/d/o/w/,/ /a/n/d/ /I/ /p/u/t/ /i/t/ /o/n/./","/I/ /t/h/o/u/g/h/t/ /t/h/a/t/ /i/t/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /t/o/ /h/a/v/e/ /a/ /c/u/r/t/a/i/n/,/ /s/o/ /I/ /b/o/u/g/h/t/ /o/n/e/./",/I/ /a/l/m/o/s/t/ /f/e/l/l/ /f/r/o/m/ /t/h/e/ /t/o/p/ /w/h/e/n/ /I/ /p/u/l/l/e/d/ /i/t/ /w/r/o/n/g/ /l/a/s/t/ /t/i/m/e/./ /I/ /h/a/v/e/ /t/o/ /b/e/ /c/a/r/e/f/u/l/./
2,"/T/h/e/r/e/'/s/ /o/n/l/y/ /h/a/l/f/ /o/f/ /t/h/e/ /w/i/n/d/o/w/,/ /s/o/ /r/a/i/n/s/ /c/o/m/e/ /t/h/r/o/u/g/h/ /i/t/ /a/l/l/ /t/h/e/ /w/a/y/.",/I/t/'/s/ /c/r/a/c/k/e/d/ /o/n/ /b/o/t/h/ /s/i/d/e/s/./ /I/ /h/a/v/e/ /t/o/ /f/i/x/ /i/t/ /s/o/m/e/h/o/w/./,"/T/h/e/ /r/a/i/n/ /w/o/n/'/t/ /c/o/m/e/ /i/n/t/o/ /h/e/r/e/ /a/n/y/m/o/r/e/,/ /b/u/t/ /I/t/ /d/o/e/s/n/'/t/ /l/o/o/k/ /g/o/o/d/./",/I/ /g/e/t/ /a/ /l/i/t/t/l/e/ /s/c/a/r/e/d/ /w/h/e/n/ /I/ /h/e/a/r/ /t/h/e/ /s/h/a/k/i/n/g/./,/(/s/o/m/e/t/i/m/e/s/ /h/e/a/r/i/n/g/ /a/ /r/a/t/t/l/i/n/g/ /s/o/u/n/d/./)/,/I/ /c/a/n/ /c/a/t/c/h/ /h/o/w/ /w/i/n/d/y/ /i/t/ /i/s/ /o/u/t/s/i/d/e/ /b/y/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /s/w/a/y/i/n/g/ /l/e/a/v/e/s/./,/I/t/ /f/e/e/l/s/ /l/i/k/e/ /t/h/e/ /w/i/n/d/o/w/s/ /a/r/e/ /a/ /l/i/t/t/l/e/ /b/i/t/ /d/e/c/o/r/a/t/e/d/./,"/T/h/e/ /w/i/n/d/o/w/ /i/s/ /n/o/t/ /b/i/g/,/ /s/o/ /I/ /o/n/l/y/ /b/o/u/g/h/t/ /o/n/e/./ /H/m/m/./ /I/t/ /s/e/e/m/s/ /t/o/ /b/e/ /s/h/o/r/t/./","/I/f/ /I/ /g/e/t/ /t/i/r/e/d/ /o/f/ /t/h/e/ /c/u/r/t/a/i/n/s/ /c/o/l/o/r/,/ /I/ /w/i/l/l/ /c/h/a/n/g/e/ /t/h/e/m/ /l/a/t/e/r/./"
3,"/T/h/e/r/e/'/s/ /o/n/l/y/ /h/a/l/f/ /o/f/ /t/h/e/ /w/i/n/d/o/w/,/ /s/o/ /r/a/i/n/s/ /c/o/m/e/ /t/h/r/o/u/g/h/ /i/t/ /a/l/l/ /t/h/e/ /w/a/y/.",/I/t/'/s/ /c/r/a/c/k/e/d/ /o/n/ /b/o/t/h/ /s/i/d/e/s/./ /I/ /h/a/v/e/ /t/o/ /f/i/x/ /i/t/ /s/o/m/e/h/o/w/./,"/T/h/e/ /r/a/i/n/ /w/o/n/'/t/ /c/o/m/e/ /i/n/t/o/ /h/e/r/e/ /a/n/y/m/o/r/e/,/ /b/u/t/ /I/t/ /d/o/e/s/n/'/t/ /l/o/o/k/ /g/o/o/d/./",/(/s/t/i/l/l/ /h/e/a/r/i/n/g/ /a/ /r/a/t/t/l/i/n/g/ /s/o/u/n/d/./)/,/I/ /c/a/n/ /s/t/i/l/l/ /h/e/a/r/ /t/h/e/ /r/a/i/n/ /h/i/t/t/i/n/g/ /t/h/e/ /w/i/n/d/o/w/./,"/I/ /h/a/v/e/ /t/h/o/u/g/h/t/ /t/h/a/t/ /I/ /c/a/n/ /j/u/s/t/ /l/e/a/v/e/ /t/h/e/ /w/i/n/d/o/w/ /a/s/ /i/t/ /i/s/,/ /b/u/t/ /I/ /r/e/a/l/i/z/e/d/ /h/o/w/ /i/m/p/o/r/t/a/n/t/ /w/h/a/t/ /I/ /c/h/a/n/g/e/d/ /t/h/e/m/././",/I/s/ /t/h/e/r/e/ /a/n/y/ /m/a/r/k/ /l/e/f/t/ /w/h/e/n/ /y/o/u/ /t/a/k/e/ /i/t/ /o/f/f/ /l/a/t/e/r/?/,"/I/ /h/e/s/i/t/a/t/e/d/ /t/o/ /b/u/y/ /t/w/o/ /o/r/ /o/n/e/,/ /b/u/t/ /I/ /o/n/l/y/ /b/o/u/g/h/t/ /o/n/e/ /a/t/ /t/h/i/s/ /t/i/m/e/./",/(/T/h/e/r/e/ /i/s/ /a/ /s/o/u/n/d/ /o/f/ /r/a/i/n/ /h/i/t/t/i/n/g/ /t/h/e/ /w/i/n/d/o/w/ /f/r/o/m/ /t/h/e/ /o/u/t/s/i/d/e/./)/
4,"/T/h/e/r/e/'/s/ /o/n/l/y/ /h/a/l/f/ /o/f/ /t/h/e/ /w/i/n/d/o/w/,/ /s/o/ /r/a/i/n/s/ /c/o/m/e/ /t/h/r/o/u/g/h/ /i/t/ /a/l/l/ /t/h/e/ /w/a/y/.",/I/t/'/s/ /c/r/a/c/k/e/d/ /o/n/ /b/o/t/h/ /s/i/d/e/s/./ /I/ /h/a/v/e/ /t/o/ /f/i/x/ /i/t/ /s/o/m/e/h/o/w/./,"/T/h/e/ /r/a/i/n/ /w/o/n/'/t/ /c/o/m/e/ /i/n/t/o/ /h/e/r/e/ /a/n/y/m/o/r/e/,/ /b/u/t/ /I/t/ /d/o/e/s/n/'/t/ /l/o/o/k/ /g/o/o/d/./","/E/v/e/n/ /i/f/ /i/t/'/s/ /t/h/i/n/,/ /i/t/ /b/l/o/c/k/s/ /w/i/n/d/ /a/n/d/ /r/a/i/n/,/ /s/o/ /i/t/'/s/ /p/r/e/t/t/y/ /g/o/o/d/ /t/h/o/u/g/h/./","/N/o/w/ /i/t/ /b/e/c/o/m/e/s/ /s/t/a/b/l/e/,/ /s/o/ /i/t/ /i/s/ /f/i/n/e/ /t/o/ /r/e/l/a/x/.","/I/t/'/s/ /s/t/r/o/n/g/,/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /b/e/t/t/e/r/ /t/o/ /d/e/c/o/r/a/t/e/ /s/o/m/e/t/h/i/n/g/ /o/n/ /i/t/./",/(/B/u/b/b/l/e/s/ /c/a/m/e/ /u/p/ /o/n/ /t/h/e/ /s/h/e/e/t/ /s/o/ /y/o/u/ /r/u/b/b/e/d/ /i/t/./)/,"/I/t/ /d/o/e/s/n/'/t/ /l/o/o/k/ /l/i/k/e/ /t/h/e/r/e/ /i/s/ /a/n/y/ /p/r/o/b/l/e/m/ /c/o/v/e/r/i/n/g/ /t/h/e/ /s/u/n/,/ /b/u/t/ /t/h/e/r/e/ /i/s/ /n/o/ /s/u/n/l/i/g/h/t/./",/I/ /f/e/e/l/ /l/i/k/e/ /t/h/e/ /h/o/u/s/e/ /i/s/ /g/e/t/t/i/n/g/ /d/a/r/k/e/r/ /w/h/e/n/ /I/ /c/l/o/s/e/ /t/h/e/ /c/u/r/t/a/i/n/s/ /o/n/ /b/o/t/h/ /s/i/d/e/s/./
5,,,,,,,"/T/h/e/r/e/ /w/e/r/e/ /a/ /l/o/t/ /o/f/ /s/h/a/p/e/s/ /o/f/ /s/h/e/e/t/s/,/ /a/n/d/ /I/ /p/i/c/k/e/d/ /t/h/i/s/ /o/n/e/ /b/e/c/a/u/s/e/ /i/t/ /l/o/o/k/e/d/ /g/o/o/d/./",/I/ /t/h/i/n/k/ /t/h/a/t/ /i/t/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /i/f/ /t/h/e/r/e/ /w/e/r/e/ /m/o/r/e/ /v/a/r/i/o/u/s/ /k/i/n/d/s/ /b/u/t/ /I/ /a/m/ /n/o/t/ /s/u/r/e/ /f/o/r/ /n/o/w/ /t/h/o/u/g/h/./,/I/t/ /l/o/o/k/s/ /b/e/t/t/e/r/ /t/o/ /h/a/v/e/ /c/u/r/t/a/i/n/s/ /o/n/ /b/o/t/h/ /s/i/d/e/s/ /o/f/ /t/h/e/ /w/i/n/d/o/w/./
6,,,,,,,"/D/o/n/'/t/ /w/o/r/r/y/,/ /i/t/ /w/o/n/'/t/ /c/o/v/e/r/ /a/l/l/ /t/h/e/ /s/u/r/f/a/c/e/s/./","/I/t/ /i/s/ /n/o/t/ /s/h/a/k/i/n/g/,/ /i/t/ /i/s/ /n/o/t/ /w/i/n/d/y/,/ /i/t/ /i/s/ /g/e/t/t/i/n/g/ /m/u/c/h/ /b/e/t/t/e/r/./",/I/ /c/a/n/'/t/ /g/e/t/ /e/n/o/u/g/h/ /o/f/ /o/u/t/s/i/d/e/ /s/i/g/h/t/./ /
7,,,,,,,,,/N/o/w/ /y/o/u/ /c/a/n/ /s/e/e/ /t/h/e/ /v/a/r/i/o/u/s/ /s/h/a/p/e/s/ /o/f/ /r/a/i/n/d/r/o/p/s/ /f/l/o/w/i/n/g/ /d/o/w/n/ /t/h/e/ /w/i/n/d/o/w/s/./
8,,,,,,,,,"/I/t/'/s/ /n/i/c/e/ /t/o/ /h/a/v/e/ /a/ /l/o/t/ /o/f/ /w/i/n/d/o/w/s/ /i/n/ /t/h/e/ /h/o/u/s/e/,/ /s/o/ /y/o/u/ /c/a/n/ /s/e/e/ /o/u/t/s/i/d/e/ /f/r/o/m/ /p/l/a/c/e/ /t/o/ /p/l/a/c/e/ /t/h/r/o/u/g/h/ /t/h/e/m/./"
9,,,,,,,,,/(/T/h/e/ /w/i/n/d/o/w/ /a/l/m/o/s/t/ /s/t/u/c/k/ /a/ /s/p/i/d/e/r/ /f/r/o/m/ /a/b/o/v/e/ /o/n/ /t/h/e/ /w/i/n/d/o/w/./)/
10,,,,,,,,,
