,lv1,lv2,lv3
대화,대화 첫 시도,대화 100회,대화 500회
상자정리,상자 하나 정리,상자 반 정리,상자 전부 정리
사다리,사다리 첫 사용,사다리 20번 사용,사다리 100번 사용
비행기,비행기 첫 터치,비행기 10번 터치,비행기 100번 터치
고양이,고양이 첫 터치,고양이 100번 터치,고양이 500번 터치
잠,처음 잠들기,10번 잠들기,50번 잠들기
요리,요리 첫 시도,요리 20번 시도,요리 100번 시도
외출,첫 외출,외출 10번,외출 100번
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
창문all,창문 MAX 달성,창문 MAX 달성,창문 MAX 달성
책all,책 MAX 달성,,
요리all,모든 요리 제작,,
재료all,모든 재료 수집,,
최종,고마워.. 나의 친구,,
