,lv1,lv2,lv3
대화,어색한 첫 만남,친해진걸까..?,이젠 자연스러워
상자정리,시작이 반이야,언제 다 치우지?,정리가 드디어 끝났어
사다리,아래층으로,오르락 내리락,튼튼한 팔과 다리
비행기,방금 지나간거 봤어?,저 비행기는 어디로 갈까,언젠가 비행기를 타볼거야
고양이,앗 도망가버렸어,계속 찾아오네,복실복실한 작은 친구
잠,너무 피곤해,다시 꿈나라로,좋은 꿈 꾸길
요리,먹을 수 있겠지?,그래도 먹을만해,이젠 나도 요리사
외출,문 너머 밖으로,매번 새로운 기분이야,외출은 즐거워
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
창문all,윤이나 반짝,윤이나 반짝,윤이나 반짝
책all,읽고 싶은 게 많아,,
요리all,많이도 만들었네,,
재료all,신선한 재료들,,
최종,고마워..,,
씨앗,오래도록 시들지 않길,,
